Proposições;Ementa;Explicação;Autor;UF;Partido;Apresentação;Situação;Link;TipoSG
PL 2943/2020;Institui o Programa Seguro Família;;"Pedro Lucas Fernandes;Eduardo Costa;Emanuel Pinheiro Neto;Maurício Dziedricki;Nivaldo Albuquerque;Pedro Augusto Bezerra;Wilson Santiago;Luisa Canziani;Paes Landim;Paulo Bengtson;Santini";"MA;PA;MT;RS;AL;CE;PB;PR;PI;PA;RS";"PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB";2020-05-27;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2253902;PL
PL 2306/2020;Estabelece incentivo fiscal em favor das empresas que firmarem parceria com universidades e institutos de ensino superior ou de pesquisa, para o desenvolvimento de projetos relativos ao COVID-19.;;"Luisa Canziani;Bruna Furlan";"PR;SP";"PTB;PSDB";2020-04-29;Pronta para Pauta;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250921;PL
PL 2136/2020;"Dispõe sobre a visita virtual, por meio de videochamadas, de familiares a pacientes internados em decorrência do novo coronavírus (COVID-19)

NOVA EMENTA: Dispõe sobre videochamadas relativas a pacientes internados em serviços de saúde.";;"Célio Studart;Luisa Canziani;Celso Sabino";"CE;PR;PA";"PV;PTB;PSDB";2020-04-23;Transformado em Norma Jurídica;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2250454;PL
PL 1998/2020;Autoriza e define a prática da telemedicina em todo o território nacional.;;"Carmen Zanotto;Clarissa Garotinho;Mariana Carvalho;Marcelo Aro;Pedro Westphalen;Marcel van Hattem;Rodrigo Coelho;Luisa Canziani;Paulo Ganime;Adriana Ventura;Paula Belmonte;Dra. Soraya Manato;Joice Hasselmann;Carla Dickson;Odorico Monteiro";"SC;RJ;RO;MG;RS;RS;SC;PR;RJ;SP;DF;ES;SP;RN;CE";"CIDADANIA;PROS;PSDB;PP;PP;NOVO;PSB;PTB;NOVO;NOVO;CIDADANIA;PSL;PSL;PROS;PSB";2020-04-17;Aguardando Deliberação;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2249925;PL
PL 1552/2020;"Dispõe sobre a proteção de mulheres em situação de violência durante a vigência do estado de calamidade pública, com efeitos até 31 de dezembro de 2020, ou enquanto durarem medidas de quarentena e restrições de atividades no contexto da pandemia do COVID-19 (Novo Coronavírus).

NOVA EMENTA: Dispõe sobre medidas de proteção à mulher em situação de violência durante a vigência do estado de calamidade pública reconhecido pelo Decreto Legislativo nº 6, de 20 de março de 2020, ou, transcorrida sua vigência, enquanto durarem as medidas de quarentena e de restrições de atividades no contexto da pandemia da Covid-19.";;"Sâmia Bomfim;David Miranda;Fernanda Melchionna;Talíria Petrone;Luiza Erundina;Tereza Nelma;Mara Rocha;Professora Rosa Neide;Margarida Salomão;Lídice da Mata;Maria do Rosário;Erika Kokay;Patricia Ferraz;Leda Sadala;Professora Dorinha Seabra Rezende;Dulce Miranda;Norma Ayub;Tabata Amaral;Rejane Dias;Luisa Canziani;Perpétua Almeida;Paula Belmonte;Edmilson Rodrigues";"SP;RJ;RS;RJ;SP;AL;AC;MT;MG;BA;RS;DF;AP;AP;TO;TO;ES;SP;PI;PR;AC;DF;PA";"PSOL;PSOL;PSOL;PSOL;PSOL;PSDB;PSDB;PT;PT;PSB;PT;PT;PODE;AVANTE;DEM;MDB;DEM;PDT;PT;PTB;PCdoB;CIDADANIA;PSOL";2020-04-03;Aguardando Apreciação pelo Senado Federal;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2243066;PL
PL 1368/2020;Assegura medidas de combate e prevenção à violência doméstica previstas na Lei 11.340 de 7 de agosto de 2006 - Lei Maria da Penha - e no Código Penal durante a vigência da Lei n° 13.979 de 6 de fevereiro de 2020 ou durante a declaração de estado de emergência de caráter humanitário e sanitário em território nacional.;;"Maria do Rosário;Talíria Petrone;Luisa Canziani;Mariana Carvalho;Lídice da Mata";"RS;RJ;PR;RO;BA";"PT;PSOL;PTB;PSDB;PSB";2020-04-01;Devolvida ao Autor;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242631;PL
PL 1291/2020;"Assegura medidas de combate e prevenção à violência doméstica previstas na Lei 11.340 de 7 de agosto de 2006 - Lei Maria da Penha - e no Código Penal durante a vigência da Lei n° 13.979 de 6 de fevereiro de 2020 ou durante a declaração de estado de emergência de caráter humanitário e sanitário em território nacional.

NOVA EMENTA: Altera a Lei nº 13.979, de 6 de fevereiro de 2020, e dispõe sobre medidas de enfrentamento à violência doméstica e familiar contra a mulher e de enfrentamento à violência contra crianças, adolescentes, pessoas idosas e pessoas com deficiência durante a emergência de saúde pública de importância internacional decorrente do coronavírus responsável pelo surto de 2019";;"Maria do Rosário;Professora Rosa Neide;Margarida Salomão;Mariana Carvalho;Luizianne Lins;Gleisi Hoffmann;Dra. Soraya Manato;Professora Marcivania;Luiza Erundina;Rejane Dias;Talíria Petrone;Clarissa Garotinho;Sâmia Bomfim;Lídice da Mata;Luisa Canziani;Margarete Coelho;Tereza Nelma;Soraya Santos;Marília Arraes;Patricia Ferraz;Marina Santos;Fernanda Melchionna;Dulce Miranda;Leda Sadala;Paula Belmonte;Tabata Amaral;Benedita da Silva;Natália Bonavides;Perpétua Almeida;Erika Kokay;Flávia Arruda;Professora Dorinha Seabra Rezende";"RS;MT;MG;RO;CE;PR;ES;AP;SP;PI;RJ;RJ;SP;BA;PR;PI;AL;RJ;PE;AP;PI;RS;TO;AP;DF;SP;RJ;RN;AC;DF;DF;TO";"PT;PT;PT;PSDB;PT;PT;PSL;PCdoB;PSOL;PT;PSOL;PROS;PSOL;PSB;PTB;PP;PSDB;PL;PT;PODE;SOLIDARI;PSOL;MDB;AVANTE;CIDADANIA;PDT;PT;PT;PCdoB;PT;PL;DEM";2020-03-30;Transformado em Norma Jurídica;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242471;PL
PL 1244/2020;Institui o Programa de Seguro Emprego- PSE.;;"Pedro Lucas Fernandes;Luisa Canziani;Eduardo Costa;Maurício Dziedricki;Marcelo Moraes;Wilson Santiago;Nivaldo Albuquerque;Pedro Augusto Bezerra;Paes Landim;Paulo Bengtson;Santini";"MA;PR;PA;RS;RS;PB;AL;CE;PI;PA;RS";"PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB;PTB";2020-03-30;Aguardando Parecer;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242347;PL
PL 1151/2020;Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para tornar expressa a utilização da receita de arrecadação de multa na despesa que especifica. ;;"Paula Belmonte;Carmen Zanotto;Jorge Solla;Luisa Canziani";"DF;SC;BA;PR";"CIDADANIA;CIDADANIA;PT;PTB";2020-03-27;Devolvida ao Autor;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242228;PL
PL 1069/2020;Altera a Lei nº 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para tornar expressa a utilização da receita de arrecadação de multa na despesa que especifica. ;;"Paula Belmonte;Carmen Zanotto;Patricia Ferraz;Rodrigo Coelho;Dr. Zacharias Calil;Adriana Ventura;Daniel Coelho;Jorge Solla;Luisa Canziani;Soraya Santos;Perpétua Almeida";"DF;SC;AP;SC;GO;SP;PE;BA;PR;RJ;AC";"CIDADANIA;CIDADANIA;PODE;PSB;DEM;NOVO;CIDADANIA;PT;PTB;PL;PCdoB";2020-03-25;Tramitando em Conjunto;http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2242130;PL
